"site","aphiaID"
"Aldabra Atoll",217880
"Aldabra Atoll",217883
"Aldabra Atoll",217884
"Aldabra Atoll",217915
"Aldabra Atoll",217925
"Aldabra Atoll",217931
"Aldabra Atoll",217937
"Aldabra Atoll",217940
"Aldabra Atoll",217941
"Aldabra Atoll",217942
"Aldabra Atoll",217943
"Aldabra Atoll",217945
"Aldabra Atoll",217947
"Aldabra Atoll",217950
"Aldabra Atoll",217968
"Aldabra Atoll",217986
"Aldabra Atoll",217991
"Aldabra Atoll",217992
"Aldabra Atoll",217997
"Aldabra Atoll",218016
"Aldabra Atoll",218053
"Aldabra Atoll",218066
"Aldabra Atoll",218077
"Aldabra Atoll",218081
"Aldabra Atoll",218084
"Aldabra Atoll",218092
"Aldabra Atoll",218093
"Aldabra Atoll",218094
"Aldabra Atoll",218096
"Aldabra Atoll",218097
"Aldabra Atoll",218098
"Aldabra Atoll",218099
"Aldabra Atoll",218100
"Aldabra Atoll",218102
"Aldabra Atoll",218110
"Aldabra Atoll",218111
"Aldabra Atoll",218114
"Aldabra Atoll",218115
"Aldabra Atoll",218119
"Aldabra Atoll",218145
"Aldabra Atoll",218158
"Aldabra Atoll",218170
"Aldabra Atoll",218174
"Aldabra Atoll",218177
"Aldabra Atoll",218180
"Aldabra Atoll",218181
"Aldabra Atoll",218182
"Aldabra Atoll",218184
"Aldabra Atoll",218185
"Aldabra Atoll",218195
"Aldabra Atoll",218197
"Aldabra Atoll",218207
"Aldabra Atoll",218218
"Aldabra Atoll",218221
"Aldabra Atoll",218228
"Aldabra Atoll",218232
"Aldabra Atoll",218237
"Aldabra Atoll",218244
"Aldabra Atoll",218246
"Aldabra Atoll",218252
"Aldabra Atoll",218274
"Aldabra Atoll",218278
"Aldabra Atoll",218282
"Aldabra Atoll",218304
"Aldabra Atoll",218312
"Aldabra Atoll",218342
"Aldabra Atoll",218355
"Aldabra Atoll",218384
"Aldabra Atoll",218385
"Aldabra Atoll",218386
"Aldabra Atoll",218393
"Aldabra Atoll",218414
"Aldabra Atoll",218419
"Aldabra Atoll",218429
"Aldabra Atoll",218474
"Aldabra Atoll",218475
"Aldabra Atoll",218479
"Aldabra Atoll",218480
"Aldabra Atoll",218482
"Aldabra Atoll",218489
"Aldabra Atoll",218490
"Aldabra Atoll",218494
"Aldabra Atoll",218495
"Aldabra Atoll",218501
"Aldabra Atoll",218535
"Aldabra Atoll",218545
"Aldabra Atoll",218574
"Aldabra Atoll",218584
"Aldabra Atoll",218588
"Aldabra Atoll",218589
"Aldabra Atoll",218647
"Aldabra Atoll",218660
"Aldabra Atoll",218661
"Aldabra Atoll",218664
"Aldabra Atoll",218685
"Aldabra Atoll",218689
"Aldabra Atoll",218695
"Aldabra Atoll",218700
"Aldabra Atoll",218707
"Aldabra Atoll",218708
"Aldabra Atoll",218711
"Aldabra Atoll",218719
"Aldabra Atoll",218721
"Aldabra Atoll",218722
"Aldabra Atoll",218726
"Aldabra Atoll",218730
"Aldabra Atoll",218733
"Aldabra Atoll",218734
"Aldabra Atoll",218735
"Aldabra Atoll",218738
"Aldabra Atoll",218741
"Aldabra Atoll",218752
"Aldabra Atoll",218753
"Aldabra Atoll",218754
"Aldabra Atoll",218762
"Aldabra Atoll",218765
"Aldabra Atoll",218780
"Aldabra Atoll",218782
"Aldabra Atoll",218783
"Aldabra Atoll",218784
"Aldabra Atoll",218833
"Aldabra Atoll",218839
"Aldabra Atoll",218847
"Aldabra Atoll",218848
"Aldabra Atoll",218849
"Aldabra Atoll",218850
"Aldabra Atoll",218851
"Aldabra Atoll",218853
"Aldabra Atoll",218866
"Aldabra Atoll",218867
"Aldabra Atoll",218920
"Aldabra Atoll",218931
"Aldabra Atoll",218940
"Aldabra Atoll",218941
"Aldabra Atoll",218944
"Aldabra Atoll",218945
"Aldabra Atoll",218947
"Aldabra Atoll",218948
"Aldabra Atoll",218954
"Aldabra Atoll",218957
"Aldabra Atoll",218959
"Aldabra Atoll",218961
"Aldabra Atoll",218964
"Aldabra Atoll",218967
"Aldabra Atoll",218972
"Aldabra Atoll",218975
"Aldabra Atoll",218976
"Aldabra Atoll",218984
"Aldabra Atoll",218985
"Aldabra Atoll",218986
"Aldabra Atoll",218990
"Aldabra Atoll",218991
"Aldabra Atoll",218995
"Aldabra Atoll",218999
"Aldabra Atoll",219001
"Aldabra Atoll",219013
"Aldabra Atoll",219014
"Aldabra Atoll",219015
"Aldabra Atoll",219032
"Aldabra Atoll",219035
"Aldabra Atoll",219039
"Aldabra Atoll",219053
"Aldabra Atoll",219058
"Aldabra Atoll",219061
"Aldabra Atoll",219063
"Aldabra Atoll",219067
"Aldabra Atoll",219069
"Aldabra Atoll",219075
"Aldabra Atoll",219076
"Aldabra Atoll",219078
"Aldabra Atoll",219082
"Aldabra Atoll",219090
"Aldabra Atoll",219091
"Aldabra Atoll",219096
"Aldabra Atoll",219113
"Aldabra Atoll",219114
"Aldabra Atoll",219125
"Aldabra Atoll",219127
"Aldabra Atoll",219156
"Aldabra Atoll",219157
"Aldabra Atoll",219159
"Aldabra Atoll",219164
"Aldabra Atoll",219179
"Aldabra Atoll",219183
"Aldabra Atoll",219233
"Aldabra Atoll",219239
"Aldabra Atoll",219245
"Aldabra Atoll",219248
"Aldabra Atoll",219249
"Aldabra Atoll",219250
"Aldabra Atoll",219251
"Aldabra Atoll",219262
"Aldabra Atoll",219263
"Aldabra Atoll",219266
"Aldabra Atoll",219275
"Aldabra Atoll",219282
"Aldabra Atoll",219284
"Aldabra Atoll",219285
"Aldabra Atoll",219286
"Aldabra Atoll",219287
"Aldabra Atoll",219294
"Aldabra Atoll",219329
"Aldabra Atoll",219334
"Aldabra Atoll",219335
"Aldabra Atoll",219340
"Aldabra Atoll",219376
"Aldabra Atoll",219378
"Aldabra Atoll",219379
"Aldabra Atoll",219385
"Aldabra Atoll",219396
"Aldabra Atoll",219409
"Aldabra Atoll",219411
"Aldabra Atoll",219432
"Aldabra Atoll",219455
"Aldabra Atoll",219456
"Aldabra Atoll",219458
"Aldabra Atoll",219459
"Aldabra Atoll",219461
"Aldabra Atoll",219463
"Aldabra Atoll",219467
"Aldabra Atoll",219469
"Aldabra Atoll",219475
"Aldabra Atoll",219476
"Aldabra Atoll",219478
"Aldabra Atoll",219506
"Aldabra Atoll",219531
"Aldabra Atoll",219535
"Aldabra Atoll",219536
"Aldabra Atoll",219538
"Aldabra Atoll",219540
"Aldabra Atoll",219547
"Aldabra Atoll",219549
"Aldabra Atoll",219551
"Aldabra Atoll",219579
"Aldabra Atoll",219582
"Aldabra Atoll",219598
"Aldabra Atoll",219599
"Aldabra Atoll",219600
"Aldabra Atoll",219616
"Aldabra Atoll",219628
"Aldabra Atoll",219629
"Aldabra Atoll",219630
"Aldabra Atoll",219632
"Aldabra Atoll",219636
"Aldabra Atoll",219640
"Aldabra Atoll",219646
"Aldabra Atoll",219659
"Aldabra Atoll",219665
"Aldabra Atoll",219668
"Aldabra Atoll",219676
"Aldabra Atoll",219679
"Aldabra Atoll",219686
"Aldabra Atoll",219688
"Aldabra Atoll",219690
"Aldabra Atoll",219692
